coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
9034fbb8-c036-4826-81c7-98e5cf495498,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",ucr_ent 00000943,insecta,,,,s. frommer,,,north america,1000.0,united states,usa,hidalgo,1976-08-24T00:00:00+00:00,2016-03-09T09:17:29.515013+00:00,0.17647058823529413,,,,,,427c86de425cc5f48fd629ef14d95d2a34593081,1976-08-24,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_taxonid_added"", ""dwc_datasetid_replaced"", ""gbif_reference_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_order_added"", ""dwc_kingdom_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,oncopeltus,,"{""lat"": 31.81486, ""lon"": -109.03578}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,ucr,,,animalia,,,,,,,1.3mi. s. rodeo,,,,,,,,,urn:uuid:84487510-d8e1-11e2-99a2-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:84487510-d8e1-11e2-99a2-0026552be7ea"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:84487510-d8e1-11e2-99a2-0026552be7ea_rid""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,237,new mexico,2007764,accepted,species,none,9034fbb8-c036-4826-81c7-98e5cf495498,,,,
f5b3d486-06fb-4262-b7e2-e20db367239d,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",nmsuacp0014446,insecta,nmsu,8b97d772-e666-4dd9-ac5d-c4701d593e41,,c. s. bundy,,,north america,5998.0,united states,usa,clinton,2011-06-30T00:00:00+00:00,2017-02-20T09:12:47.574766+00:00,0.2647058823529412,,,,,,23d6698b45a0cd8beda6e75699c2666ba09a6634,2011-06-30,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_country_replaced"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,oncopeltus,,"{""lat"": 38.525, ""lon"": -89.13333}",,false,false,,,,,nmsu,,,animalia,,,,,,,centralia,,,,,,,,centralia,ef6b1fc7-9be0-4aa2-b2e8-d88a2a3e2fc2,hemiptera,arthropoda,"[""ff111763-e72d-4f24-8914-b5b2dd94908c\\ef6b1fc7-9be0-4aa2-b2e8-d88a2a3e2fc2"", ""ff111763-e72d-4f24-8914-b5b2dd94908c\\1176977"", ""urn:uuid:ef6b1fc7-9be0-4aa2-b2e8-d88a2a3e2fc2""]",,ff111763-e72d-4f24-8914-b5b2dd94908c,oncopeltus fasciatus,fasciatus,181,illinois,2007764,accepted,species,,f5b3d486-06fb-4262-b7e2-e20db367239d,,,,
31f7f1f3-95da-4ead-ab77-749f9fa6ef40,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",amnh_izc 00195805,insecta,,,,unknown,,,north america,,mexico,mex,none or unknown,,2016-03-09T09:17:29.515013+00:00,0.1323529411764706,,,,,,29b513676fea1da0474ef88e6b5438a7caf1d083,,lygaeidae,,"[""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_continent_added"", ""dwc_kingdom_added"", ""dwc_class_added""]",,oncopeltus,,,,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,amnh,,,animalia,,,,,,,lower california {baja california} between san jose del cabo and triunfo,,,,,,,,,urn:uuid:233d2a2c-3aba-11e4-8259-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:233d2a2c-3aba-11e4-8259-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:233d2a2c-3aba-11e4-8259-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,,baja california,2007764,accepted,species,none,31f7f1f3-95da-4ead-ab77-749f9fa6ef40,1911,,,
64dfe302-5b7e-4389-8ea4-6bd454213e35,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",amnh_izc 00201971,insecta,,,,unknown,,,north america,,puerto rico,pri,none,1914-07-30T19:14:00-01:00,2016-03-09T09:17:29.515013+00:00,0.14705882352941177,,,,,,994f77279cf59214eed860c3ddb22a62a1f32a54,1914-07-30/1914-08-01,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_stateprovince_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_continent_added"", ""dwc_kingdom_added""]",,oncopeltus,,"{""lat"": 18.4744, ""lon"": -66.7161}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,amnh,,,animalia,,,,,,,arecibo,,,,,,,,,urn:uuid:6737349a-509d-11e4-8259-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:6737349a-509d-11e4-8259-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:6737349a-509d-11e4-8259-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,211,,2007764,accepted,species,none,64dfe302-5b7e-4389-8ea4-6bd454213e35,,,,
e9c54cce-c208-4ca8-a6f4-78713f8de5bb,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",amnh_izc 00195562,insecta,,,,c. v. reichart,,,north america,,united states,usa,pinellas,1949-12-16T00:00:00+00:00,2016-03-09T09:17:29.515013+00:00,0.16176470588235295,,,,,,2064c3dc10f273b6723ffb124200dd6faada4ac1,1949-12-16,lygaeidae,,"[""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_kingdom_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,oncopeltus,,,,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,amnh,,,animalia,,,,,,,st. petersburg,,,,,,,,,urn:uuid:3f46979e-434d-11e4-8259-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:3f46979e-434d-11e4-8259-0026552be7ea"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:3f46979e-434d-11e4-8259-0026552be7ea_rid""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,350,florida,2007764,accepted,species,none,e9c54cce-c208-4ca8-a6f4-78713f8de5bb,,,,
9acd973a-42fb-4ed8-8a8d-39b1447928c6,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",amnh_izc 00201649,insecta,,,,unknown,,,north america,,united states,usa,arlington,,2016-03-09T09:17:29.515013+00:00,0.1323529411764706,,,,,,2037750e7558acf681cefab0239d47d6d357cc17,,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_kingdom_added"", ""dwc_continent_added"", ""dwc_class_added""]",,oncopeltus,,"{""lat"": 38.86167, ""lon"": -77.12944}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,amnh,,,animalia,,,,,,,glencarlyn,,,,,,,,,urn:uuid:cffcdc98-45ab-11e4-8259-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:cffcdc98-45ab-11e4-8259-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:cffcdc98-45ab-11e4-8259-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,,virginia,2007764,accepted,species,none,9acd973a-42fb-4ed8-8a8d-39b1447928c6,2 jul,,,
5b68c512-6fc9-454a-8f9c-03f79847b68c,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",memu_ent 00118286,insecta,,,,unknown,,,north america,,united states,usa,oktibbeha,1907-05-12T00:00:00+00:00,2016-03-09T09:17:29.515013+00:00,0.16176470588235295,,,,,,161bed51a0e01cd7a52b7f8dc5f0dafaf60e4457,1907-05-12,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_kingdom_added"", ""dwc_continent_added""]",,oncopeltus,,"{""lat"": 33.45472, ""lon"": -88.78861}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,memu,,,animalia,,,,,,,mississippi state university (agr. col.),,,,,,,,,urn:uuid:88733012-d8e1-11e2-99a2-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:88733012-d8e1-11e2-99a2-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:88733012-d8e1-11e2-99a2-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,132,mississippi,2007764,accepted,species,none,5b68c512-6fc9-454a-8f9c-03f79847b68c,,,,
a1eef39c-628a-4208-ab94-875377e6539a,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",ncsu 0071150,insecta,,,,b. l. rabb,,,north america,,united states,usa,wake,1949-06-08T00:00:00+00:00,2016-03-09T09:17:29.515013+00:00,0.16176470588235295,,,,,,e70fa73d1564d719fd1524c8b2ec17eea16d4a5b,1949-06-08,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_kingdom_added"", ""dwc_continent_added""]",,oncopeltus,,"{""lat"": 35.77194, ""lon"": -78.63889}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,ncsu,,,animalia,,,,,,,raleigh,,,,,,,,,urn:uuid:86019eb8-d8e1-11e2-99a2-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:86019eb8-d8e1-11e2-99a2-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:86019eb8-d8e1-11e2-99a2-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,159,north carolina,2007764,accepted,species,none,a1eef39c-628a-4208-ab94-875377e6539a,,,,
7a633d4d-187d-4a98-bf73-20ca8573799a,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",amnh_izc 00195583,insecta,,,,j. c. schaffner,,,north america,,mexico,mex,guaymas,1956-01-18T00:00:00+00:00,2016-03-09T09:17:29.515013+00:00,0.16176470588235295,,,,,,14e8cf4d442261efec1058ea74bfc98353a0d156,1956-01-18,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_parentnameusageid_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""dwc_class_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_continent_added"", ""dwc_kingdom_added""]",,oncopeltus,,"{""lat"": 27.91833, ""lon"": -110.89888}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,amnh,,,animalia,,,,,,,guaymas,,,,,,,,,urn:uuid:8327e61e-435e-11e4-8259-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:8327e61e-435e-11e4-8259-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:8327e61e-435e-11e4-8259-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,18,sonora,2007764,accepted,species,none,7a633d4d-187d-4a98-bf73-20ca8573799a,,,,
953aa73e-5b31-46ba-bc05-4a1081ddf0b0,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",ncsu 0071173,insecta,,,,l. l. deitz,,,north america,,united states,usa,harford,1964-06-14T00:00:00+00:00,2016-03-09T09:17:29.515013+00:00,0.16176470588235295,,,,,,33bffdc85a656b3fa2097b23869505af87170962,1964-06-14,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_phylum_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_multimedia_added"", ""dwc_taxonid_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_datasetid_replaced"", ""dwc_order_added"", ""dwc_kingdom_added"", ""dwc_continent_added"", ""dwc_parentnameusageid_added"", ""dwc_class_added""]",,oncopeltus,,"{""lat"": 39.51434, ""lon"": -76.41119}",,false,false,animalia;arthropoda;lygaeidae;lygaeinae,,1.0,,ncsu,,,animalia,,,,,,,fallston,,,,,,,,,urn:uuid:86020e70-d8e1-11e2-99a2-0026552be7ea,hemiptera,arthropoda,"[""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:86020e70-d8e1-11e2-99a2-0026552be7ea_rid"", ""5975bbda-cd92-4084-8a09-ce1e28e6164f\\urn:uuid:86020e70-d8e1-11e2-99a2-0026552be7ea""]",,5975bbda-cd92-4084-8a09-ce1e28e6164f,oncopeltus fasciatus,fasciatus,166,maryland,2007764,accepted,species,none,953aa73e-5b31-46ba-bc05-4a1081ddf0b0,,,,
69a299f6-8ef8-403e-8b36-3127f409977f,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",nmsuacp0057194,insecta,nmsu,8b97d772-e666-4dd9-ac5d-c4701d593e41,,,,,north america,,united states,usa,dona ana,1985-09-18T00:00:00+00:00,2016-06-14T09:23:35.180884+00:00,0.22058823529411764,,,,,,4571041919ac5dc0db75a8a7dad316efa9599cd0,1985-09-18,lygaeidae,,"[""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,oncopeltus,,,,false,false,,,,,nmsu,,,animalia,,,,,,,"n. base, tortugas mt.",,,,,,,1280.0,,78d16f3c-d190-4584-9514-bd230046e2b4,hemiptera,arthropoda,"[""ff111763-e72d-4f24-8914-b5b2dd94908c\\78d16f3c-d190-4584-9514-bd230046e2b4"", ""urn:uuid:78d16f3c-d190-4584-9514-bd230046e2b4"", ""ff111763-e72d-4f24-8914-b5b2dd94908c\\21320408""]",,ff111763-e72d-4f24-8914-b5b2dd94908c,oncopeltus fasciatus,fasciatus,261,new mexico,2007764,accepted,species,,69a299f6-8ef8-403e-8b36-3127f409977f,,,,
2a1abb0c-4b91-456d-9ee9-bc36dcf2a51c,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",nmsuacp0057181,insecta,nmsu,8b97d772-e666-4dd9-ac5d-c4701d593e41,,b. weber,,,north america,,united states,usa,dona ana,1978-04-18T00:00:00+00:00,2016-06-14T09:23:35.180884+00:00,0.22058823529411764,,,,,,bee728e0c4cc5d774cccc35232bb239089c24762,1978-04-18,lygaeidae,,"[""dwc_taxonrank_replaced"", ""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_continent_added"", ""dwc_parentnameusageid_added""]",,oncopeltus,,,,false,false,,,,,nmsu,,,animalia,,,,,,,las cruces,,,,,,,,,f10d5e72-27a8-4dca-b0d8-9fbb4644f5c9,hemiptera,arthropoda,"[""ff111763-e72d-4f24-8914-b5b2dd94908c\\21320409"", ""ff111763-e72d-4f24-8914-b5b2dd94908c\\f10d5e72-27a8-4dca-b0d8-9fbb4644f5c9"", ""urn:uuid:f10d5e72-27a8-4dca-b0d8-9fbb4644f5c9""]",,ff111763-e72d-4f24-8914-b5b2dd94908c,oncopeltus fasciatus,fasciatus,108,new mexico,2007764,accepted,species,,2a1abb0c-4b91-456d-9ee9-bc36dcf2a51c,,,,
26c70bb6-d23c-42b0-aac8-fd96e134428a,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",77280,insecta,rinvrt,,,"ray, c d",large milkweed bug,"[""Large Milkweed Bug""]",north america,,united states,usa,cleveland,1949-10-19T00:00:00+00:00,2017-03-12T21:01:22.444371+00:00,0.2647058823529412,,,,,,dedb26ba0355c078c1bd8b7a8c60859baef1a8cd,19 october 1949,lygaeidae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added""]",,oncopeltus,,,,false,false,,,,,omnh,,,animalia,,,,,,,,,,,,,,,,urn:catalog:omnh:rinvrt:77280,hemiptera,arthropoda,"[""2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7\\urn:catalog:omnh:rinvrt:77280""]",,2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7,oncopeltus fasciatus,fasciatus,292,oklahoma,2007764,accepted,species,,26c70bb6-d23c-42b0-aac8-fd96e134428a,19 october 1949,,,
42059004-20d8-4e6d-a73a-c02317a11b2a,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",77255,insecta,rinvrt,,,"mac, r",large milkweed bug,"[""Large Milkweed Bug""]",north america,21424.0,united states,usa,cleveland,1933-05-15T00:00:00+00:00,2017-03-12T21:01:22.444371+00:00,0.29411764705882354,,,,,,eb9e20ddaca1a54508a5fda8f79af13404451205,15 may 1933,lygaeidae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added""]",,oncopeltus,,"{""lat"": 35.2225, ""lon"": -97.43917}",,false,false,,,,,omnh,,,animalia,,,,,,,norman,,,,,,,,,urn:catalog:omnh:rinvrt:77255,hemiptera,arthropoda,"[""2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7\\urn:catalog:omnh:rinvrt:77255""]",,2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7,oncopeltus fasciatus,fasciatus,135,oklahoma,2007764,accepted,species,,42059004-20d8-4e6d-a73a-c02317a11b2a,15 may 1933,,,
431b2f5f-0ee5-4aaf-9eff-085baa7db282,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",76949,insecta,rinvrt,,,"cohen, j c",large milkweed bug,"[""Large Milkweed Bug""]",north america,3036.0,united states,usa,kings,1947-07-01T00:00:00+00:00,2017-03-12T21:01:22.444371+00:00,0.27941176470588236,,,,,,faa614b223ec674697f96598f94f1298de3830ab,1 july 1947,lygaeidae,,"[""geopoint_datum_missing"", ""geopoint_low_precision"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added""]",,oncopeltus,,"{""lat"": 40.65, ""lon"": -73.95}",,false,false,,,,,omnh,,,animalia,,,,,,,brooklyn,,,,,,,,,urn:catalog:omnh:rinvrt:76949,hemiptera,arthropoda,"[""2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7\\urn:catalog:omnh:rinvrt:76949""]",,2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7,oncopeltus fasciatus,fasciatus,182,new york,2007764,accepted,species,,431b2f5f-0ee5-4aaf-9eff-085baa7db282,1 july 1947,,,
63fedece-b11b-4a6d-bd1e-cd36d54e7f8e,,,preservedspecimen,,"oncopeltus fasciatus (dallas, 1852)",77279,insecta,rinvrt,,,"aldridge, c",large milkweed bug,"[""Large Milkweed Bug""]",north america,,united states,usa,oklahoma,1950-05-04T00:00:00+00:00,2017-03-12T21:01:22.444371+00:00,0.2647058823529412,,,,,,a0891eb5c5a9bd8bf09f9b9fa468b2685e1f8ff2,4 may 1950,lygaeidae,,"[""dwc_taxonrank_added"", ""gbif_reference_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""dwc_multimedia_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added""]",,oncopeltus,,,,false,false,,,,,omnh,,,animalia,,,,,,,,,,,,,,,,urn:catalog:omnh:rinvrt:77279,hemiptera,arthropoda,"[""2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7\\urn:catalog:omnh:rinvrt:77279""]",,2e6b6643-ebc7-4a80-a7ea-f4dd7b9c42e7,oncopeltus fasciatus,fasciatus,124,oklahoma,2007764,accepted,species,,63fedece-b11b-4a6d-bd1e-cd36d54e7f8e,4 may 1950,,,
