coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:nameAccordingToID,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,fcc:datePicked,fcc:pickedBy,gbif:Identifier,gbif:Reference,idigbio:preservative,idigbio:recordId,idigbio:subfamily,idigbio:substrate,idigbio:superfamily,symbiota:recordEnteredBy,symbiota:verbatimScientificName
d56b6ccf-a7e7-4546-9656-c2a224e9d14b,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=71389,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,71389,Reptilia,Herps,,North America,,,United States,US,Natchitoches,,,,,,,,,,,,,,,,native,1929-04,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| UNITED STATES | LOUISIANA | NATCHITOCHES |  |  |  |,,,,,,,,,2,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,4,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:71389,,present,Squamata,,,,,,,,,Chordata,,,,,PRISCILLA HUSSEY,,,,,,Anolis carolinensis,,,,carolinensis,,Louisiana,,,species,,,,,,,,,,UNITED STATES | LOUISIANA | NATCHITOCHES,,,,,,1929,,,,,,,,,,,
d70540a8-7bc8-4385-bca0-59ee0a6dbcd4,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=173762,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,173762,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,16,,,,"{""snoutVentLengthInMM"":""24.5"" }",,,,,,228,native,1958-08-16,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:173762,COMPLETE SKELETON  RECAT FROM S-2257 & 148853,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R E ETHERIDGE & C F WALKER,,,,,,Anolis carolinensis,,,male,carolinensis,228,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1958,,,,,,,,,,,
e4074f1e-3ca6-4e15-bc3e-b45433b99473,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=224424,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,224424,Reptilia,Herps,,Oceania,,,United States,US,Maui,,,,,4,,,,,,,,,,247,native,1998-09-04,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Hawaii | Maui |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,Maui,Hawaiian Islands,Animalia,,,,,,,,,,,,,,,,,,,9,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:224424,,present,Squamata,,,,,,,,,Chordata,,,,FK 3688,FRED KRAUS,,,,,,Anolis carolinensis,,,,carolinensis,247,Hawaii,,,species,,,,,,,,,,UNITED STATES | HAWAII | MAUI,,,,,North Pacific Ocean,1998,,,,,,,,,,,
e83f27ff-7e26-4bb9-abec-ed13e201bd00,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=173779,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,173779,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,16,,,,"{""snoutVentLengthInMM"":""31.5"" }",,,,,,228,native,1958-08-16,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:173779,COMPLETE SKELETON  RECAT FROM S-2257 & 148853,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R E ETHERIDGE & C F WALKER,,,,,,Anolis carolinensis,,,female,carolinensis,228,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1958,,,,,,,,,,,
ba203b98-32db-49d1-83f4-fa068d354ca4,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=81972,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,81972,Reptilia,Herps,,North America,,,United States,US,McCurtain,,,,,29,,,,,,,,,,241,native,1937-08-29,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| UNITED STATES | OKLAHOMA | MCCURTAIN |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:81972,,present,Squamata,,,,,,,,,Chordata,,,,84,F BLAIR AND T HUBBELL,,,,,,Anolis carolinensis,,,,carolinensis,241,Oklahoma,,,species,,,,,,,,,,UNITED STATES | OKLAHOMA | MCCURTAIN,,,,,,1937,,,,,,,,,,,
bb999dd6-58fd-4cd5-bb46-16e67d6e531d,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=107198,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,107198,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,25,,,,,,,,,,299,native,1952-10-25,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,3,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,10,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:107198,,present,Squamata,,,,,,,,,Chordata,,,,6526-8,C PHILLIPS,,,,,,Anolis carolinensis,,,,carolinensis,299,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1952,,,,,,,,,,,
9a8d30b3-a208-43f5-a6f2-32a86467a31f,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=68856,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,68856,Reptilia,Herps,,North America,,,United States,US,Alachua,,,,,17,,,,,,,,,,76,native,1923-03-17,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Alachua |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,3,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:68856,,present,Squamata,,,,,,,,,Chordata,,,,,J S ALEXANDER,,,,,,Anolis carolinensis,,,,carolinensis,76,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | ALACHUA,,,,,,1923,,,,,,,,,,,
8d8a7ca5-2cce-4100-bb7b-a38d8e6917ac,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=173763,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,173763,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,16,,,,"{""snoutVentLengthInMM"":""26"" }",,,,,,228,native,1958-08-16,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:173763,COMPLETE SKELETON  RECAT FROM S-2257 & 148853,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R E ETHERIDGE & C F WALKER,,,,,,Anolis carolinensis,,,male,carolinensis,228,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1958,,,,,,,,,,,
91b8c335-f458-4a91-b9b2-20305e31d769,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=178272,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,178272,Reptilia,Herps,,North America,,,United States,US,Berkeley,,,,,25,,,,,,,,,,85,native,1980-03-25,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | South Carolina | Berkeley |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,3,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:178272,,present,Squamata,,,,,,,,,Chordata,,,,FK 187,FRED KRAUS,,,,,,Anolis carolinensis,,,,carolinensis,85,South Carolina,,,species,,,,,,,,,,UNITED STATES | SOUTH CAROLINA | BERKELEY,,,,,,1980,,,,,,,,,,,
7f169632-3674-4f43-9eca-8fb5be5988cc,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=61641,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,61641,Reptilia,Herps,,North America,,,United States,US,Pinellas,,,,,17,,,,,,,,,,76,native,1925-03-17,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Pinellas |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,3,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:61641,,present,Squamata,,,,,,,,,Chordata,,,,,H T GAIGE,,,,,,Anolis carolinensis,,,,carolinensis,76,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | PINELLAS,,,,,,1925,,,,,,,,,,,
ee62bcdb-c244-4737-89c0-1886ce07a382,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=115964,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,115964,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,23,,,,,,,,,,266,native,1954-09-23,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,9,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:115964,,present,Squamata,,,,,,,,,Chordata,,,,,R E ETHERIDGE,,,,,,Anolis carolinensis,,,,carolinensis,266,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1954,,,,,,,,,,,
ef302132-fb4c-46e8-aef1-a2966527c595,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=178270,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,178270,Reptilia,Herps,,North America,,,United States,US,Berkeley,,,,,23,,,,,,,,,,83,native,1980-03-23,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | South Carolina | Berkeley |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,3,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:178270,,present,Squamata,,,,,,,,,Chordata,,,,FK 182,FRED KRAUS,,,,,,Anolis carolinensis,,,,carolinensis,83,South Carolina,,,species,,,,,,,,,,UNITED STATES | SOUTH CAROLINA | BERKELEY,,,,,,1980,,,,,,,,,,,
f9be8017-8ca8-465e-9f20-96612069c85d,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=148844,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,148844,Reptilia,Herps,,North America,,,United States,US,Harris,,,,,,,,,"{""snoutVentLengthInMM"":""50"" }",,,,,,,native,1956-09,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Texas | Harris |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,9,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:148844,COMPLETE SKELETON  RECAT FROM S-2060  NTD IN OLD SKELETAL CATALOG ON FILE,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R ETHERIDGE,,,,,,Anolis carolinensis,,,female,carolinensis,,Texas,,,species,,,,,,,,,,UNITED STATES | TEXAS | HARRIS,,,,,,1956,,,,,,,,,,,
146209a3-7f6d-48ca-a7f9-937e0a5a797c,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=173796,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,173796,Reptilia,Herps,,North America,,,United States,US,Alachua,,,,,21,,,,"{""snoutVentLengthInMM"":""24"" }",,,,,,233,native,1958-08-21,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Alachua |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:173796,COMPLETE SKELETON  RECAT FROM S-2260 & 148854,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R E ETHERIDGE & W AUFFENBERG,,,,,,Anolis carolinensis,,,male,carolinensis,233,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | ALACHUA,,,,,,1958,,,,,,,,,,,
1516a2a0-40e5-4442-b990-bf8bde166e47,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=173773,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,173773,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,16,,,,"{""snoutVentLengthInMM"":""48"" }",,,,,,228,native,1958-08-16,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:173773,COMPLETE SKELETON  RECAT FROM S-2257 & 148853,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R E ETHERIDGE & C F WALKER,,,,,,Anolis carolinensis,,,female,carolinensis,228,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1958,,,,,,,,,,,
17d771b4-f199-477b-ae94-57c90d7801ae,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=226771,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,226771,Reptilia,Herps,,Oceania,,,United States,US,Honolulu,,,,,31,,,,,,,,,,212,native,1999-07-31,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| UNITED STATES | HAWAII | OAHU |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,Oahu,Hawaiian Islands,Animalia,,,,,,,,,,,,,,,,,,,7,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:226771,,present,Squamata,,,,,,,,,Chordata,,,,FK 3995,FRED KRAUS & E TEODORO,,,,,,Anolis carolinensis,,,,carolinensis,212,Hawaii,,,species,,,,,,,,,,UNITED STATES | HAWAII | OAHU,,,,,North Pacific Ocean,1999,,,,,,,,,,,
0853b362-8b09-4080-82c8-40ed92d512be,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=173767,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,173767,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,16,,,,"{""snoutVentLengthInMM"":""35"" }",,,,,,228,native,1958-08-16,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:173767,COMPLETE SKELETON  RECAT FROM S-2257 & 148853,present,Squamata,,,,,,,,,Chordata,,whole animal,,,R E ETHERIDGE & C F WALKER,,,,,,Anolis carolinensis,,,male,carolinensis,228,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1958,,,,,,,,,,,
3d109552-ac00-4f52-9b8a-7da676298c04,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=108380,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,108380,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,25,,,,,,,,,,176,native,1953-06-25,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,3,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,6,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:108380,,present,Squamata,,,,,,,,,Chordata,,,,6209-11,A S AND W E DUELLMAN AND J HARRISON,,,,,,Anolis carolinensis,,,,carolinensis,176,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1953,,,,,,,,,,,
3ea05f60-2c04-494a-a471-defa0e6c5fa8,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=241795,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,241795,Reptilia,Herps,,North America,,,United States,US,Liberty,,,,,12,,,,"{""snoutVentLengthInMM"":""0"" }",,,,,,102,native,1967-04-12,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Liberty |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,4,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:241795,COLLECTED FROM WALLS OF OLD HOUSE,present,Squamata,,,,,,,,,Chordata,,,,,UM FLINT BIOLOGY 391 CLASS,,,,,,Anolis carolinensis,,,,carolinensis,102,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | LIBERTY,,,,,,1967,,,,,,,,,,,
3ee178f8-b684-4738-a9c5-3f8aba0ea424,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=148834,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,148834,Reptilia,Herps,,North America,,,United States,US,Dorchester,,,,,4,,,,"{""snoutVentLengthInMM"":""0"" }",,,,,,155,native,1954-06-04,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | South Carolina | Dorchester |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,6,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:148834,COMPLETE SKELETON RECAT FROM S-1 522 NTD IN OLD SKELETAL CATALOG ON FILE,present,Squamata,,,,,,,,,Chordata,,whole animal,,,G B RABB,,,,,,Anolis carolinensis,,,male,carolinensis,155,South Carolina,,,species,,,,,,,,,,UNITED STATES | SOUTH CAROLINA | DORCHESTER,,,,,,1954,,,,,,,,,,,
35ce0098-25ab-4084-ba63-2022900c13df,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=108379,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,108379,Reptilia,Herps,,North America,,,United States,US,Monroe,,,,,25,,,,,,,,,,176,native,1953-06-25,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| United States | Florida | Monroe |  |  |  |,,,,,,,,,4,,,UMMZ,urn:lsid:biocol.org:col:34917,,,Animalia,,,,,,,,,,,,,,,,,,,6,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:108379,,present,Squamata,,,,,,,,,Chordata,,,,6195-6,A S AND W E DUELLMAN,,,,,,Anolis carolinensis,,,,carolinensis,176,Florida,,,species,,,,,,,,,,UNITED STATES | FLORIDA | MONROE,,,,,,1953,,,,,,,,,,,
1d66cfe8-8c10-4b2b-92f6-e43c2c910b12,,,http://vertnet.org/resources/norms.html,,en,https://creativecommons.org/publicdomain/zero/1.0/,2015-02-20,http://portal.vertnet.org/o/ummz/herps?id=225263,,,,PhysicalObject,,,,,,,,,,,,PreservedSpecimen,,,225263,Reptilia,Herps,,Oceania,,,United States,US,Maui,,,,,20,,,,,,,,,,232,native,1999-08-20,,,,Polychrotidae,,,,,,,Anolis,,,,,,,,,,,SAURIA | POLYCHROTIDAE | ANOLIS,| UNITED STATES | HAWAII | LANAI |  |  |  |,,,,,,,,,1,,,UMMZ,urn:lsid:biocol.org:col:34917,Lanai,Hawaiian Islands,Animalia,,,,,,,,,,,,,,,,,,,8,,,,,,,ICZN,,,urn:catalog:UMMZ:Herps:225263,,present,Squamata,,,,,,,,,Chordata,,,,FK 4062,F KRAUS,,,,,,Anolis carolinensis,,,,carolinensis,232,Hawaii,,,species,,,,,,,,,,UNITED STATES | HAWAII | LANAI,,,,,North Pacific Ocean,1999,,,,,,,,,,,
